author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
回头无岸便向前,61244,4943,69604,80248420,135222,85,影视,8305,766888,12008,"道教,下山,2019新人嘉年华,太极,陈师行,影视剪影,剪辑,影视剪辑",“世上哪有什么轻功”说完道长转身就【下山】了  【道教混剪】记得三连谢谢！！！,3399626
阿成漫漫看,130339,8342,65463,79807193,121708,84,影视,2751,773057,8749,"影评,电影解说,宫崎骏,动画,动画电影,经典,爱情,动漫,纯真,动画片",60万人评分，还能拿到9.0分，这才是成年人应该看的动画电影,2550216
bilibili星访问,15010,8956,11010,84438214,42188,83,影视,2254,773176,4445,"手机游戏,手办模玩,明星,尹正,大王不高兴,B站总部,bilibili星访问,扫楼,手游,二次元,娱乐,手办",尹正夜游阿宅天堂(B站)，撸猫 撸手办 撸游戏+围观加班【bilibili星访问 第61期】,862460
凌空杰杰大,32286,3580,11761,83895334,55703,82,影视,1386,777335,16686,"想见你,bilibili新星计划,湖南卫视,王诠胜,黄雨萱,许光汉",用湖南卫视的方式打开《想见你》是什么神仙体验,708384
未名柒柒,15573,2271,16145,84566531,28722,81,影视,606,786762,3976,"锦衣之下,任嘉伦,谭松韵,一下夫妇,全能打卡挑战,古装,影视剪辑",【一下夫妇】成亲了！圆房了！婚后甜甜甜！任嘉伦×谭松韵,507728
话很多的小姐姐们,17679,4105,16113,87445315,36811,80,影视,1700,790710,8429,"影评,许光汉,影视鉴评挑战,穿越,爱情,解说,台剧,悬疑,想见你,柯佳嬿,施柏宇",【小姐姐们】超强干货，高分反转剧《想见你》不得不看的硬核分析（第二期）,589152
打死某五分之一,11705,186,27795,86065667,12267,79,影视,867,794737,955,"bilibili新星计划,科普,国产,推理,经典,烧脑,侦探,读书,阅读,推理小说",真·推理小说推荐！8本高能推理伴你度过漫漫假期！,203741
弓呈禾,19414,4268,26174,84489903,25789,78,影视,1037,797519,4656,"任嘉伦,陆绎,影视剪辑,个人向,bilibili新星计划,打戏,踩点,高燃",极致享受！水龙吟完整版！都别想出去！【任嘉伦 I 陆绎绝美打戏个人向】高燃/巨A/踩点/舔颜 I 让人欲罢不能的陆言渊,224798
小黄爱看片儿,7218,2281,11908,86286209,46211,77,影视,1345,807904,28499,"我要出去,抗击肺炎大作战,电影,搞笑,三国,剪辑,电影剪辑,古装,河南村长,张飞",憋  死  人  了,954448
淇之岸,14946,977,23991,87378925,44286,76,影视,661,815093,9162,"搞笑,bilibili新星计划,美人鱼,魔性,恶搞,电影剪辑,配音,沙雕,猜猜我是谁",【双倍快乐】猜猜我是谁&美人鱼,330951
